,Model,Random State,Best Parameters,f1_Score,Execution Time
0,GaussianNB(),1.0,{'var_smoothing': 0.04328761281083057},0.9533286661999534,0.5745189189910889
1,GaussianNB(),2.0,{'var_smoothing': 0.0657933224657568},0.9533286661999534,0.5467476844787598
2,GaussianNB(),3.0,{'var_smoothing': 0.02848035868435802},0.9533286661999534,0.671715259552002
3,GaussianNB(),4.0,{'var_smoothing': 0.2848035868435802},0.9533286661999534,0.5749092102050781
4,GaussianNB(),5.0,{'var_smoothing': 0.2848035868435802},0.9533286661999534,0.5779893398284912
5,GaussianNB(),6.0,{'var_smoothing': 0.23101297000831597},0.9533286661999534,0.5427491664886475
6,GaussianNB(),7.0,{'var_smoothing': 0.15199110829529336},0.9533286661999534,0.5865175724029541
7,GaussianNB(),8.0,{'var_smoothing': 0.1873817422860384},0.9533286661999534,0.5208039283752441
8,GaussianNB(),9.0,{'var_smoothing': 0.1873817422860384},0.9533286661999534,0.5467476844787598
9,GaussianNB(),10.0,{'var_smoothing': 0.1873817422860384},0.9533286661999534,0.5467455387115479
