,Model,Random State,Best Parameters,f1_Score,Execution Time
0,LogisticRegression(),1.0,"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9799979997999799,0.40691113471984863
1,LogisticRegression(),2.0,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.96,0.3041865825653076
2,LogisticRegression(),3.0,"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9799979997999799,0.31415867805480957
3,LogisticRegression(),4.0,"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9799979997999799,0.3879580497741699
4,LogisticRegression(),5.0,"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9799979997999799,0.3121659755706787
5,LogisticRegression(),6.0,"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9799979997999799,0.2842409610748291
6,LogisticRegression(),7.0,"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9799979997999799,0.31815242767333984
7,LogisticRegression(),8.0,"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9799979997999799,0.2962048053741455
8,LogisticRegression(),9.0,"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9799979997999799,0.29720425605773926
9,LogisticRegression(),10.0,"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9799979997999799,0.38198399543762207
